Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,FALSE
Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE
Absol,Dark,,465,65,130,60,75,60,75,3,FALSE
Mega Absol,Dark,,565,65,150,60,115,60,115,3,FALSE
Accelgor,Bug,,495,80,70,40,100,60,145,5,FALSE
Aegislash Blade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,FALSE
Aegislash Shield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,FALSE
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
Mega Aggron,Steel,,630,70,140,230,60,80,50,3,FALSE
Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE
Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE
Mega Alakazam,Psychic,,590,55,50,65,175,95,150,1,FALSE
Alomomola,Water,,470,165,75,80,40,45,65,5,FALSE
Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE
Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE
Amaura,Rock,Ice,362,77,59,50,67,63,46,6,FALSE
Ambipom,Normal,,482,75,100,66,60,66,115,4,FALSE
Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,FALSE
Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE
Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE
Anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE
Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE
Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE
Arceus,Normal,,720,120,120,120,120,120,120,4,TRUE
Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE
Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE
Aromatisse,Fairy,,462,101,72,72,99,89,29,6,FALSE
Aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
Audino,Normal,,445,103,60,86,60,86,50,5,FALSE
AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,FALSE
Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,FALSE
Avalugg,Ice,,514,95,117,184,44,46,28,6,FALSE
Axew,Dragon,,320,46,87,60,30,40,57,5,FALSE
Azelf,Psychic,,580,75,125,70,125,70,115,4,TRUE
Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE
Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE
Bagon,Dragon,,300,45,75,60,40,30,50,3,FALSE
Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,FALSE
Banette,Ghost,,455,64,115,65,83,63,65,3,FALSE
Mega Banette,Ghost,,555,64,165,75,93,83,75,3,FALSE
Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,FALSE
Barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE
Basculin,Water,,460,70,92,65,80,55,98,5,FALSE
Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,FALSE
Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE
Beartic,Ice,,485,95,110,80,70,80,50,5,FALSE
Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE
Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
Beheeyem,Psychic,,485,75,75,75,125,95,40,5,FALSE
Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,FALSE
Bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
Bergmite,Ice,,304,55,69,85,32,35,28,6,FALSE
Bibarel,Normal,Water,410,79,85,60,55,60,71,4,FALSE
Bidoof,Normal,,250,59,45,40,35,40,31,4,FALSE
Binacle,Rock,Water,306,42,52,67,39,56,50,6,FALSE
Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,FALSE
Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE
Mega Blastoise,Water,,630,79,103,120,135,115,78,1,FALSE
Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
Blissey,Normal,,540,255,10,10,75,135,55,2,FALSE
Blitzle,Electric,,295,45,60,32,50,32,76,5,FALSE
Boldore,Rock,,390,70,105,105,50,40,20,5,FALSE
Bonsly,Rock,,290,50,80,95,10,45,10,4,FALSE
Bouffalant,Normal,,490,95,110,95,40,95,55,5,FALSE
Braixen,Fire,,409,59,59,58,90,70,73,6,FALSE
Braviary,Normal,Flying,510,100,123,75,57,75,80,5,FALSE
Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,FALSE
Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,FALSE
Budew,Grass,Poison,280,40,30,35,50,70,55,4,FALSE
Buizel,Water,,330,55,65,35,60,30,85,4,FALSE
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
Buneary,Normal,,350,55,66,44,44,56,85,4,FALSE
Bunnelby,Normal,,237,38,36,38,32,36,57,6,FALSE
Burmy,Bug,,224,40,29,45,29,45,36,4,FALSE
Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
Cacnea,Grass,,335,50,85,40,85,40,35,3,FALSE
Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE
Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,FALSE
Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,FALSE
Carnivine,Grass,,454,74,100,72,90,72,46,4,FALSE
Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
Cascoon,Bug,,205,50,35,55,25,25,15,3,FALSE
Castform,Normal,,420,70,70,70,70,70,70,3,FALSE
Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE
Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,FALSE
Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE
Chatot,Normal,Flying,411,76,65,45,92,42,91,4,FALSE
Cherrim,Grass,,450,70,60,70,87,78,85,4,FALSE
Cherubi,Grass,,275,45,35,45,62,53,35,4,FALSE
Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,FALSE
Chespin,Grass,,313,56,61,65,48,45,38,6,FALSE
Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE
Chimchar,Fire,,309,44,58,44,58,44,61,4,FALSE
Chimecho,Psychic,,425,65,50,70,95,80,65,3,FALSE
Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE
Chingling,Psychic,,285,45,30,50,65,50,45,4,FALSE
Cinccino,Normal,,470,75,95,60,65,60,115,5,FALSE
Clamperl,Water,,345,35,64,85,74,55,32,3,FALSE
Clauncher,Water,,330,50,53,62,58,63,44,6,FALSE
Clawitzer,Water,,500,71,73,88,120,89,59,6,FALSE
Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,FALSE
Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE
Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE
Cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE
Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,TRUE
Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,FALSE
Combee,Bug,Flying,244,30,30,42,30,42,70,4,FALSE
Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE
Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,FALSE
Corphish,Water,,308,43,80,65,50,35,35,3,FALSE
Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE
Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
Cradily,Rock,Grass,495,86,81,97,81,107,43,3,FALSE
Cranidos,Rock,,350,67,125,40,30,30,58,4,FALSE
Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE
Cresselia,Psychic,,600,120,70,120,75,130,85,4,FALSE
Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,FALSE
Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE
Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE
Crustle,Bug,Rock,475,70,95,125,65,75,45,5,FALSE
Cryogonal,Ice,,485,70,50,30,95,135,105,5,FALSE
Cubchoo,Ice,,305,55,70,40,60,40,40,5,FALSE
Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE
Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE
Darkrai,Dark,,600,70,90,90,135,90,125,4,TRUE
Darmanitan Standard Mode,Fire,,480,105,140,55,30,55,95,5,FALSE
Darmanitan Zen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,FALSE
Darumaka,Fire,,315,70,90,45,15,45,50,5,FALSE
Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,FALSE
Deerling,Normal,Grass,335,60,60,50,40,50,75,5,FALSE
Deino,Dark,Dragon,300,52,65,50,45,50,38,5,FALSE
Delcatty,Normal,,380,70,65,65,55,55,70,3,FALSE
Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE
Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,FALSE
Deoxys Attack Forme,Psychic,,600,50,180,20,180,20,150,3,TRUE
Deoxys Defense Forme,Psychic,,600,50,70,160,70,160,90,3,TRUE
Deoxys Normal Forme,Psychic,,600,50,150,50,150,50,150,3,TRUE
Deoxys Speed Forme,Psychic,,600,50,95,90,95,90,180,3,TRUE
Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE
Dewott,Water,,413,75,75,60,83,60,60,5,FALSE
Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,TRUE
Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,TRUE
Mega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,TRUE
Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,FALSE
Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE
Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE
Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE
Donphan,Ground,,500,90,120,120,60,60,50,2,FALSE
Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,FALSE
Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,FALSE
Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
Drapion,Poison,Dark,500,70,90,110,60,75,95,4,FALSE
Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE
Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,FALSE
Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,FALSE
Drilbur,Ground,,328,60,85,40,30,45,68,5,FALSE
Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE
Druddigon,Dragon,,485,77,120,90,60,90,48,5,FALSE
Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE
Dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE
Duosion,Psychic,,370,65,40,50,125,60,30,5,FALSE
Durant,Bug,Steel,484,58,109,112,48,48,109,5,FALSE
Dusclops,Ghost,,455,40,70,130,60,130,25,3,FALSE
Dusknoir,Ghost,,525,45,100,135,65,135,45,4,FALSE
Duskull,Ghost,,295,20,40,90,30,90,25,3,FALSE
Dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE
Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
Eelektrik,Electric,,405,65,85,70,75,70,40,5,FALSE
Eelektross,Electric,,515,85,115,80,105,80,50,5,FALSE
Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE
Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE
Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE
Electivire,Electric,,540,75,123,67,95,85,95,4,FALSE
Electrike,Electric,,295,40,45,40,65,40,65,3,FALSE
Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE
Elekid,Electric,,360,45,63,37,65,55,95,2,FALSE
Elgyem,Psychic,,335,55,55,55,85,55,30,5,FALSE
Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
Emolga,Electric,Flying,428,55,75,60,75,60,103,5,FALSE
Empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE
Entei,Fire,,580,115,115,85,90,75,100,2,TRUE
Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,FALSE
Espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE
Espurr,Psychic,,355,62,48,54,63,60,68,6,FALSE
Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,FALSE
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE
Exploud,Normal,,490,104,91,63,91,73,68,3,FALSE
Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE
Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE
Feebas,Water,,200,20,15,20,10,55,80,3,FALSE
Fennekin,Fire,,307,40,45,40,62,60,60,6,FALSE
Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE
Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,FALSE
Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,FALSE
Finneon,Water,,330,49,49,56,49,61,66,4,FALSE
Flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE
Flabébé,Fairy,,303,44,38,39,61,79,42,6,FALSE
Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE
Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,FALSE
Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,FALSE
Floatzel,Water,,495,85,105,55,85,50,115,4,FALSE
Floette,Fairy,,371,54,45,47,75,98,52,6,FALSE
Florges,Fairy,,552,78,65,68,112,154,75,6,FALSE
Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE
Foongus,Grass,Poison,294,69,55,45,55,55,15,5,FALSE
Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE
Fraxure,Dragon,,410,66,117,70,40,50,67,5,FALSE
Frillish,Water,Ghost,335,55,40,50,65,85,40,5,FALSE
Froakie,Water,,314,41,56,40,62,44,71,6,FALSE
Frogadier,Water,,405,54,63,52,83,56,97,6,FALSE
Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,FALSE
Furfrou,Normal,,472,75,80,60,65,90,102,6,FALSE
Furret,Normal,,415,85,76,64,45,55,90,2,FALSE
Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,FALSE
Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,FALSE
Mega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,FALSE
Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,FALSE
Garbodor,Poison,,474,80,95,82,60,82,75,5,FALSE
Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,FALSE
Mega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,FALSE
Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE
Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE
Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE
Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,FALSE
Genesect,Bug,Steel,600,71,120,95,120,95,99,5,FALSE
Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE
Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE
Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE
Gible,Dragon,Ground,300,58,70,45,40,45,42,4,FALSE
Gigalith,Rock,,515,85,135,130,60,80,25,5,FALSE
Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE
Giratina Altered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,TRUE
Giratina Origin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,TRUE
Glaceon,Ice,,525,65,60,110,130,95,65,4,FALSE
Glalie,Ice,,480,80,80,80,80,80,80,3,FALSE
Mega Glalie,Ice,,580,80,120,80,120,80,100,3,FALSE
Glameow,Normal,,310,49,55,42,42,37,85,4,FALSE
Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE
Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,FALSE
Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
Gogoat,Grass,,531,123,100,62,97,81,68,6,FALSE
Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE
Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE
